group,name,code,prev_close,open_pct,close_pct,high_pct,high_time,low_pct,low_time,amount_yi,before_1000_pct,before_1030_pct,csv
电力锚定,华电辽能,600396,17.73,0.96,-1.3,4.17,09:41,-6.49,13:36,49.41,-0.17,-1.92,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_600396_intraday.csv
电力锚定,大唐发电,601991,7.99,-1.0,1.25,2.63,09:33,-2.38,09:48,41.89,-0.25,-0.25,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_601991_intraday.csv
物理AI锚定,达实智能,002421,4.89,-10.02,-10.02,-5.11,10:10,-10.02,09:30,29.45,-10.02,-9.82,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_002421_intraday.csv
物理AI锚定,天娱数科,002354,7.98,-7.02,-5.76,1.75,10:10,-8.52,09:39,46.42,-1.5,-1.88,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_002354_intraday.csv
上一连板高标,大有能源,600403,8.05,-9.94,-9.94,-7.45,13:01,-9.94,09:30,6.83,-9.94,-9.94,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_600403_intraday.csv
昨日晋级失败高标,金安国纪,002636,84.8,6.12,5.99,10.0,09:34,2.5,09:31,75.8,10.0,10.0,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_002636_intraday.csv
昨日晋级成功高标,宿迁联盛,603065,12.36,10.03,10.03,10.03,09:30,10.03,09:30,1.34,10.03,10.03,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_603065_intraday.csv
昨日晋级成功高标,和远气体,002971,52.75,4.27,10.01,10.01,09:31,3.13,09:31,33.25,10.01,10.01,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_002971_intraday.csv
昨日晋级成功高标,中化国际,600500,7.21,9.57,9.99,9.99,09:32,3.74,09:31,45.67,9.99,9.99,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_600500_intraday.csv
六氟化钨核心,中船特气,688146,349.8,-6.52,-13.66,-3.68,09:51,-19.99,13:56,87.86,-8.08,-9.93,D:\project\way_to_10000000\intraday_20260612_watch_pool\20260612_688146_intraday.csv
